 6.627, 0.814,578.303,-15.752,-6.933, 0.130
 6.971, 1.681,580.022,-15.557,-7.256, 0.212
 7.055, 1.894,580.417,-15.242,-7.321, 0.208
 6.904, 2.033,578.357,-15.001,-7.449, 0.171
 6.642, 2.221,579.816,-14.618,-7.578, 0.079
 6.203, 2.830,579.501,-14.304,-7.381, 0.105
 6.227, 3.611,579.563,-13.800,-7.379,-0.016
 6.261, 4.204,579.261,-13.487,-7.315, 0.128
 6.038, 4.058,578.257,-13.176,-7.120, 0.193
 5.746, 3.567,578.643,-13.111,-7.060, 0.298
 5.353, 3.133,580.027,-13.102,-6.674, 0.404
 5.213, 2.709,582.840,-13.210,-6.160, 0.344
 4.794, 2.504,582.830,-13.208,-5.900, 0.384
 4.348, 2.529,580.797,-12.840,-5.771, 0.413
 4.146, 2.547,580.557,-12.526,-5.580, 0.454
 4.205, 2.814,579.158,-12.153,-5.322, 0.415
 4.174, 3.395,579.618,-11.584,-5.127, 0.345
 4.637, 3.925,579.629,-11.079,-4.993, 0.352
 4.889, 4.205,579.290,-10.641,-5.058, 0.330
 5.020, 3.850,580.064,-10.386,-5.060, 0.339
 4.805, 3.108,579.356,-10.389,-4.930, 0.275
 4.797, 3.219,580.448,-10.196,-4.996, 0.212
 4.909, 3.797,581.494,-10.001,-4.929, 0.240
 4.853, 4.039,580.146,-9.629,-4.798, 0.212
 4.886, 4.095,581.245,-9.435,-4.731, 0.140
 4.674, 4.219,579.537,-9.253,-4.537, 0.128
 4.473, 4.303,578.817,-9.255,-4.407, 0.145
 4.404, 4.152,580.567,-9.183,-4.214, 0.140
 4.417, 4.189,580.194,-9.247,-4.148, 0.067
 4.797, 4.338,581.258,-9.177,-3.952, 0.085
 4.503, 4.223,579.867,-9.308,-3.822, 0.115
 4.164, 3.785,579.921,-9.307,-3.696, 0.045
 4.089, 3.557,580.591,-9.303,-3.566, 0.027
 3.975, 4.158,579.577,-9.244,-3.373, 0.118
 3.960, 4.504,579.974,-9.052,-3.176, 0.027
 3.856, 4.486,578.212,-8.996,-3.112, 0.067
 3.709, 4.577,578.950,-8.867,-2.985, 0.020
 3.406, 4.251,580.349,-8.858,-2.726, 0.047
 3.433, 4.229,579.984,-8.796,-2.662,-0.019
 3.324, 4.513,581.425,-8.536,-2.403, 0.122
 3.305, 4.551,580.339,-8.476,-2.209, 0.079
 3.167, 4.492,580.094,-8.288,-2.015, 0.025
 3.014, 4.666,580.102,-8.161,-1.885, 0.020
 3.064, 4.708,579.080,-7.977,-1.821, 0.015
 3.335, 4.829,580.131,-7.908,-1.757, 0.074
 2.978, 4.798,579.094,-7.850,-1.690, 0.041
 2.904, 4.861,579.840,-7.720,-1.564, 0.017
 2.902, 4.939,580.513,-7.716,-1.561, 0.085
 3.096, 4.786,579.096,-7.724,-1.693, 0.071
 3.300, 4.464,580.494,-7.844,-1.824, 0.102
 3.494, 4.632,579.732,-7.974,-1.951, 0.179
 3.946, 4.569,579.356,-8.040,-2.144, 0.181
 3.859, 4.880,580.416,-8.226,-2.341, 0.100
 3.970, 4.520,580.013,-8.291,-2.407, 0.111
 3.879, 4.329,580.740,-8.539,-2.405, 0.120
 3.986, 4.175,579.969,-8.668,-2.406, 0.074
 4.091, 4.140,580.319,-8.856,-2.473, 0.097
 4.124, 3.942,580.306,-8.981,-2.343, 0.207
 4.176, 3.543,579.228,-9.049,-2.407, 0.089
 4.200, 3.547,581.689,-9.227,-2.471, 0.100
 4.195, 3.196,581.277,-9.417,-2.409, 0.141
