 0.169,-4.299
 0.189,-4.335
 0.231,-4.361
 0.241,-4.358
 0.252,-4.382
 0.283,-4.395
 0.325,-4.395
 0.325,-4.395
 0.355,-4.397
 0.366,-4.416
 0.407,-4.431
 0.428,-4.431
 0.428,-4.446
 0.438,-4.453
 0.439,-4.424
 0.429,-4.376
 0.450,-4.367
 0.450,-4.367
 0.428,-4.335
 0.408,-4.346
 0.397,-4.348
 0.386,-4.370
 0.355,-4.377
 0.344,-4.373
 0.324,-4.404
 0.303,-4.384
 0.283,-4.410
 0.294,-4.422
 0.324,-4.424
 0.335,-4.428
 0.355,-4.403
 0.355,-4.403
 0.314,-4.408
 0.273,-4.417
 0.252,-4.422
 0.231,-4.416
 0.200,-4.429
 0.191,-4.447
 0.180,-4.469
 0.170,-4.493
 0.150,-4.493
 0.139,-4.479
 0.097,-4.479
 0.087,-4.490
 0.077,-4.509
 0.067,-4.556
 0.047,-4.576
 0.057,-4.589
 0.047,-4.611
 0.037,-4.644
 0.027,-4.666
 0.037,-4.670
 0.037,-4.667
 0.048,-4.660
 0.059,-4.658
 0.069,-4.654
 0.069,-4.648
 0.058,-4.656
 0.058,-4.633
 0.058,-4.659
 0.058,-4.619
 0.058,-4.590
 0.058,-4.575
 0.058,-4.549
 0.048,-4.553
 0.068,-4.527
 0.037,-4.534
 0.047,-4.547
 0.058,-4.564
 0.058,-4.570
 0.058,-4.569
 0.047,-4.576
 0.058,-4.580
 0.068,-4.562
 0.058,-4.555
 0.058,-4.555
 0.058,-4.543
 0.047,-4.531
 0.037,-4.512
 0.016,-4.503
 0.026,-4.481
 0.026,-4.481
 0.037,-4.479
 0.057,-4.488
 0.047,-4.527
 0.047,-4.541
 0.058,-4.570
 0.079,-4.615
 0.099,-4.639
 0.099,-4.651
 0.099,-4.621
 0.109,-4.573
 0.120,-4.552
 0.109,-4.547
 0.120,-4.581
 0.130,-4.583
 0.130,-4.612
 0.141,-4.625
 0.151,-4.606
 0.141,-4.596
 0.141,-4.596
 0.151,-4.603
 0.162,-4.617
 0.162,-4.631
 0.162,-4.683
 0.173,-4.685
 0.172,-4.699
 0.162,-4.738
 0.152,-4.733
 0.131,-4.725
 0.100,-4.697
 0.100,-4.656
 0.079,-4.662
 0.089,-4.658
 0.079,-4.691
 0.100,-4.711
 0.100,-4.726
 0.111,-4.765
 0.111,-4.753
 0.131,-4.792
 0.142,-4.778
 0.143,-4.798
 0.153,-4.791
 0.132,-4.800
 0.143,-4.799
 0.132,-4.811
 0.132,-4.826
